Number|Opened|Active|Short description|Caller|Priority|Description|State|Category|Assignment group|Assigned to|Updated|Updated by|Business resolve time|Business impact|Business duration|
INC0006165|2022-07-16 01:27:24|false|Oracle Planning does not trigger notifications after performing action|Joe Employee|1 - Critical|Oracle Planning does not trigger notifications after performing action|Closed|Software|Oracle Support|Paul Shafer|2022-08-02 06:21:15|system|0||0 Seconds|
INC0006272|2022-07-17 20:56:49|false|Warning displayed while launching Taxware Use Tax|Carol Coughlin|1 - Critical|Warning displayed while launching Taxware Use Tax|Closed|Software|Financial Systems Support|Bernard Laboy|2022-08-02 06:14:30|system|0||0 Seconds|
INC0006531|2022-07-22 05:19:49|false|Xignite Company, Market and Industry News Headlines upgrade to the latest ver...|Mary Cruse|1 - Critical|Xignite Company, Market and Industry News Headlines upgrade to the latest version|Closed|Inquiry / Help|Financial Systems Support|Audra Cantu|2022-08-01 01:51:23|admin|0||0 Seconds|
INC0006631|2022-07-23 20:51:25|false|Test Instance not provisioned for Retail Adding Points |Asset Manager|1 - Critical|Test Instance not provisioned for Retail Adding Points |Closed|Software|Technical Services Support|Eduardo Bellendir|2022-08-01 01:51:26|admin|0||0 Seconds|
INC0006633|2022-07-23 22:15:54|false|Database error observed in HireRight Identity Checks|Davin Czukowski|1 - Critical|Database error observed in HireRight Identity Checks|Closed|Software|HR Systems Support|Allyson Gillispie|2022-08-01 01:51:26|admin|3,426||57 Minutes|
INC0006635|2022-07-23 22:42:57|false|Error accessing network|Ted Keppel|1 - Critical|Error accessing network|Closed|Network|Technical Services Support|Bess Marso|2022-08-01 01:51:26|admin|10,107||2 Hours 48 Minutes|
INC0006664|2022-07-24 09:08:36|false|Oracle Taleo Succession Planning Service Instance relocation from US datacent...|Wayne Webb|1 - Critical|Oracle Taleo Succession Planning Service Instance relocation from US datacenter to Hongkong datacentre|Closed|Software|Oracle Support|Carla Humble|2022-08-01 01:51:27|admin|3,417||56 Minutes|
INC0006735|2022-07-25 17:30:37|false|Error accessing network|Jerrod Bennett|1 - Critical|Error accessing network|Closed|Network|Technical Services Support|Annabelle Coger|2022-08-01 01:51:30|admin|0||0 Seconds|
INC0006907|2022-07-28 22:59:10|false|Request an account to be created for D&B Direct for Credit Risk Management|Beth Anglin|1 - Critical|Request an account to be created for D&B Direct for Credit Risk Management|Closed|Inquiry / Help|Financial Systems Support|Barton Friesner|2022-08-01 01:51:31|admin|0||0 Seconds|
INC0013350|2022-11-29 10:51:21|false|test| Biswajeet Mohanty|1 - Critical||Closed|Inquiry / Help|Service Desk||2023-04-14 07:41:00|asureshmundhekar|213||3 Minutes|
